,animist,catholic,coptic,gelugpa,hindu,jewish,mahayana,orthodox,protestant,shiite,shinto,sikh,sunni,theravada
1836,1332881.45276,11860798.317,53702.01477,56743.58067,2348148.30548,123836.113,5679033.61702,1640384.1341,9626929.18669,131979.1994,667077.46965,10063.30228,1854350.35625,118355.22892
1837,1274462.79275,11953609.6717,57814.83609,60627.59532,2405564.54905,118373.55125,5906987.22328,1671428.38237,9887201.38219,143002.23363,589393.15361,14402.39635,1878490.96099,121562.03352
1838,1249555.65281,11993814.9452,59414.48804,62008.71701,2432126.62986,116472.74212,6011228.53954,1681569.86037,9967106.8999,147737.37662,559330.87012,15849.58852,1890787.29719,122833.13691
1839,1207681.99869,12086148.932,62054.59386,64280.60153,2482875.88225,113496.40388,6195331.39105,1706903.85496,10065590.7331,155813.12798,513294.67381,17935.22701,1909616.02597,125749.78657
1840,1176429.35999,12160077.8673,64238.07598,66644.02191,2530505.1572,110987.74968,6325056.52484,1730458.71428,10188884.2545,162894.74946,491448.69349,20312.90757,1929039.99464,126752.82474
1841,1147934.60168,12237982.6506,66202.38305,68873.21769,2584234.55053,109036.67835,6450591.61218,1761283.98159,10321851.0507,170803.22566,475397.5392,22458.58179,1947737.5854,128668.51745
1842,1124688.75438,12272202.7883,67761.55873,70799.82315,2634867.83538,107447.48658,6539132.33128,1789172.35071,10438577.3509,177830.75528,452669.37964,22844.7758,1967637.45728,130827.54625
1843,1102394.81025,12286347.9203,69251.12444,73505.55241,2688401.52852,106294.68032,6637967.67307,1818204.99985,10567880.2719,185640.93442,432755.88183,23942.15487,1986882.83172,133270.80696
1844,1081709.06139,12363998.6185,70717.11128,76284.90923,2750090.47233,105664.43773,6762116.67722,1850514.82515,10691374.8257,193650.86467,416959.94174,24831.26479,2008604.92516,136049.78008
1845,1061050.59809,12404600.5624,72101.51536,78655.02794,2711793.14913,105402.64001,6884547.47569,1886413.25315,10827826.7757,202982.93584,400988.01186,24327.79033,2012987.053,139186.22432
1846,1041322.52738,12477474.9828,73333.47791,80464.14224,2786062.51484,105375.39139,7019886.02298,1923272.4638,10974734.4958,212342.70672,383047.84676,24694.87274,2037858.28081,141130.71381
1847,1024866.7894,12569939.9676,74402.54889,82958.61109,2864027.78886,105446.84273,7148260.87341,1963107.59154,11133961.0368,222265.04322,379121.12215,25007.6143,2065107.06234,144344.0667
1848,1009967.03028,12651070.5747,75114.63703,85921.76549,2947887.53411,105645.04581,7275585.67857,2005076.58079,11293760.2269,231238.21451,377353.89987,25355.80598,2093932.4973,147026.26422
1849,996447.18693,12739469.1422,76051.19791,89006.09172,3036307.20521,106112.47843,7411367.87769,2049833.86872,11454178.0057,240006.41957,375581.4122,25708.12984,2124247.0852,149445.73217
1850,985064.34604,12859485.8716,76921.23384,92228.27239,3127646.57742,106579.09817,7549279.69546,2093530.81425,11604539.6137,250868.3801,373968.53714,25987.04538,2158058.27694,152173.2529
1851,973818.50331,12994392.6892,77629.49979,95535.03101,3217919.31646,107507.27555,7730225.65836,2143731.92367,11720834.9179,261097.51872,352012.34134,26269.89887,2189902.85965,155402.68996
1852,963753.70263,13142562.6727,78289.2019,99028.45931,3311719.19116,108583.52698,7925941.13361,2195337.21568,11902134.9046,272943.57115,330605.40255,26589.70401,2221998.26558,159054.09966
