,aristocrats,artisans,bureaucrats,capitalists,clergymen,clerks,craftsmen,farmers,labourers,officers,slaves,soldiers
1836,4086204.0,16949761.0,339359.0,7233.0,2533094.0,20227.0,334944.0,170736886.0,53382215.0,224059.0,2619515.0,3548054.0
1837,4103264.0,16535079.0,555237.0,8618.0,2602436.0,22558.0,368438.0,170122499.0,54990418.0,256095.0,2619497.0,3884283.0
1838,4110545.0,16407371.0,624641.0,9144.0,2634127.0,23415.0,385004.0,170426936.0,55009964.0,266559.0,2619497.0,4072076.0
1839,4122167.0,16178860.0,740760.0,9880.0,2709845.0,25395.0,415275.0,170914880.0,55115963.0,283127.0,2605601.0,4305371.0
1840,4134908.0,15970654.0,840031.0,10616.0,2784638.0,27997.0,452449.0,171475836.0,55245122.0,299370.0,2605448.0,4323085.0
1841,4147829.0,15766397.0,921367.0,11180.0,2873109.0,30525.0,501770.0,171977955.0,55417167.0,313905.0,2579948.0,4392360.0
1842,4142209.0,15563400.0,974318.0,11801.0,2944683.0,32931.0,548476.0,171700760.0,55476267.0,324733.0,2577947.0,4410253.0
1843,4141327.0,15372016.0,1023650.0,12284.0,3008330.0,35092.0,600223.0,171619543.0,55476298.0,333895.0,2577947.0,4463704.0
1844,4153888.0,15218666.0,1079365.0,12825.0,3082333.0,37724.0,670369.0,172082215.0,55634112.0,344840.0,2577947.0,4525199.0
1845,4151699.0,14997999.0,1133391.0,13195.0,3143832.0,40294.0,752315.0,171369273.0,55621411.0,353775.0,2577947.0,4555084.0
1846,4161954.0,14858332.0,1189514.0,13696.0,3205874.0,42841.0,847792.0,171664255.0,55646692.0,362206.0,2577796.0,4685086.0
1847,4173945.0,14713307.0,1244006.0,14282.0,3265654.0,47267.0,955464.0,172092543.0,55753711.0,370843.0,2577661.0,4758032.0
1848,4182516.0,14588086.0,1292444.0,14675.0,3321238.0,51892.0,1065564.0,172377248.0,55989356.0,379291.0,2577661.0,4829101.0
1849,4192752.0,14487913.0,1341252.0,14853.0,3376821.0,56428.0,1173593.0,172825398.0,56109579.0,388362.0,2577421.0,4907973.0
1850,4201211.0,14404927.0,1387840.0,15283.0,3440437.0,61451.0,1285401.0,173205769.0,56244758.0,396323.0,2573704.0,4970126.0
1851,4214432.0,14360951.0,1429652.0,15708.0,3505762.0,66232.0,1396566.0,173611646.0,56366313.0,404741.0,2573704.0,5030874.0
1852,4230074.0,14355682.0,1472117.0,16089.0,3564166.0,71787.0,1523419.0,174043747.0,56516192.0,413003.0,2573666.0,5094284.0
1853,4242653.0,14339246.0,1511000.0,16564.0,3615450.0,76751.0,1663137.0,174409232.0,56658591.0,420455.0,2558719.0,5092897.0
1854,4246609.0,14315372.0,1544912.0,16952.0,3664132.0,81490.0,1817306.0,174740388.0,56753991.0,425451.0,2486170.0,5105308.0
1855,4254405.0,14279270.0,1584739.0,18141.0,3739932.0,87199.0,1997310.0,175037492.0,56749032.0,428668.0,2473208.0,5203984.0
1856,4265738.0,14266154.0,1618745.0,18887.0,3793911.0,92327.0,2139717.0,175408259.0,56863381.0,431892.0,2473202.0,5260776.0
1857,4292828.0,14289983.0,1670718.0,20240.0,3888158.0,99874.0,2428272.0,176284237.0,57044429.0,438782.0,2473202.0,5310611.0
1858,4302576.0,14306178.0,1688033.0,20493.0,3914194.0,102165.0,2536042.0,176531054.0,57117864.0,441520.0,2461670.0,5243291.0
1859,4331621.0,14379007.0,1735989.0,21069.0,3984926.0,108335.0,2810053.0,177389638.0,57258972.0,448068.0,2461670.0,5181834.0
1860,4359264.0,14449900.0,1781793.0,21739.0,4056063.0,115762.0,3068459.0,178188063.0,57401691.0,453295.0,2461657.0,5202316.0
1861,4374505.0,14513228.0,1811861.0,22114.0,4110169.0,122946.0,3273330.0,178635195.0,57487509.0,455616.0,2381275.0,5273585.0
1862,4388256.0,14557586.0,1830804.0,22129.0,4147555.0,126490.0,3396779.0,179424730.0,57682291.0,458447.0,1893728.0,5326595.0
1863,4405729.0,14650188.0,1858703.0,22267.0,4210694.0,133778.0,3661711.0,180080570.0,57802784.0,463179.0,1893679.0,5428281.0
1864,4427121.0,14759424.0,1889404.0,22666.0,4284712.0,141110.0,3922558.0,180777789.0,57975705.0,468867.0,1893137.0,5536161.0
1865,4449629.0,14841034.0,1920623.0,23114.0,4349314.0,150111.0,4177221.0,181470058.0,58034773.0,473934.0,1893137.0,5492349.0
1866,4469898.0,14836865.0,1956909.0,23292.0,4408591.0,160238.0,4415400.0,181812948.0,57822218.0,478255.0,1893137.0,5470224.0
1867,4484745.0,14764893.0,1987106.0,23338.0,4430654.0,176352.0,4763378.0,181580485.0,57677266.0,483480.0,1776037.0,5983858.0
1868,4490954.0,14683601.0,2020594.0,23458.0,4451830.0,190479.0,5121144.0,181053889.0,57452896.0,487572.0,1776037.0,6230493.0
1869,4512087.0,14651228.0,2070940.0,23771.0,4494758.0,202611.0,5479516.0,181571669.0,57016278.0,492721.0,1776037.0,6521842.0
1870,4533630.0,14634712.0,2135385.0,23860.0,4546746.0,215378.0,5837222.0,182634493.0,56323321.0,498182.0,1776037.0,6812700.0
1871,4556464.0,14622025.0,2214362.0,24075.0,4617845.0,223983.0,6106576.0,183280503.0,56092983.0,502312.0,1776037.0,7044445.0
1872,4582505.0,14737290.0,2287252.0,24656.0,4699385.0,231807.0,6417239.0,183941734.0,56204314.0,507211.0,1671037.0,7168268.0
1873,4607865.0,14844666.0,2339140.0,25433.0,4798751.0,240151.0,6745710.0,184655153.0,56345064.0,513739.0,1528989.0,7249691.0
1874,4627339.0,14918459.0,2386062.0,26330.0,4874679.0,248734.0,7107084.0,184801013.0,56440771.0,518774.0,1435889.0,7320480.0
1875,4661625.0,15053523.0,2460033.0,27259.0,4989154.0,258443.0,7672117.0,185360742.0,56853158.0,528081.0,1153389.0,7512190.0
1876,4685275.0,15129723.0,2525265.0,28663.0,5089203.0,268568.0,8174202.0,186109107.0,57475490.0,539231.0,752289.0,7736074.0
1877,4693020.0,15090385.0,2536698.0,29017.0,5144919.0,268379.0,8291579.0,186285888.0,57563086.0,542632.0,722189.0,7790408.0
1878,4704659.0,15155129.0,2556432.0,29736.0,5192078.0,259469.0,8520092.0,186724319.0,57620042.0,550507.0,643089.0,7891181.0
1879,4703979.0,15164620.0,2577228.0,30833.0,5224468.0,255231.0,8796426.0,185835625.0,57651021.0,556281.0,601889.0,7971102.0
1880,4729375.0,15262428.0,2600215.0,32129.0,5301031.0,255125.0,9167554.0,185967721.0,57824707.0,565990.0,601889.0,8124743.0
1881,4755287.0,15359316.0,2630703.0,33140.0,5370201.0,257764.0,9544268.0,186070591.0,58075179.0,572442.0,592673.0,8279138.0
1882,4785914.0,15489707.0,2681439.0,33904.0,5451737.0,261977.0,10061358.0,186314608.0,58507154.0,578995.0,592673.0,8434789.0
1883,4813991.0,15608839.0,2746212.0,34613.0,5529544.0,269894.0,10592607.0,186381444.0,58767857.0,583985.0,572621.0,8494929.0
1884,4853597.0,15748719.0,2857919.0,35766.0,5624379.0,277875.0,11258977.0,187073242.0,59166786.0,589442.0,567521.0,8491450.0
1885,4875150.0,15807327.0,2896411.0,36601.0,5661970.0,283454.0,11674613.0,187386677.0,59299711.0,593790.0,567521.0,8434692.0
1886,4922942.0,15835691.0,2964214.0,38215.0,5729249.0,295707.0,12540684.0,187290598.0,59699067.0,604052.0,567521.0,8465629.0
1887,4949328.0,15855276.0,3003724.0,39471.0,5758325.0,306777.0,12984685.0,187440578.0,59935885.0,609649.0,567521.0,8606310.0
1888,4981382.0,15969974.0,3057146.0,40968.0,5814596.0,316817.0,13671880.0,187758294.0,60487705.0,614728.0,567521.0,8869578.0
1889,5017419.0,16100898.0,3115337.0,42653.0,5884491.0,331066.0,14440814.0,188059879.0,61150631.0,620583.0,567521.0,9109834.0
1890,5051964.0,16196156.0,3176069.0,44278.0,5963978.0,345776.0,15480440.0,187027671.0,62402406.0,626003.0,554620.0,9315828.0
1891,5093061.0,16349782.0,3235176.0,46623.0,6055744.0,358216.0,16520782.0,186930980.0,63228066.0,634280.0,550039.0,9476002.0
1892,5143908.0,16502447.0,3310336.0,49604.0,6159954.0,377518.0,17846983.0,186964110.0,64205395.0,643995.0,549975.0,9718132.0
1893,5187163.0,16663633.0,3375820.0,51804.0,6250415.0,392349.0,18941578.0,186858436.0,65050207.0,651967.0,549838.0,9875841.0
1894,5229039.0,16837204.0,3444956.0,53656.0,6331504.0,406935.0,20029755.0,186705868.0,65798218.0,659664.0,549838.0,9909001.0
1895,5273638.0,17033538.0,3518724.0,55838.0,6440408.0,422287.0,21133834.0,186619308.0,66604116.0,666302.0,549838.0,10038593.0
