,animist,catholic,coptic,gelugpa,hindu,jewish,mahayana,orthodox,protestant,shiite,shinto,sikh,sunni,theravada
1836,4942,5163,115,213,597,566,1904,1885,2830,427,164,45,4271,311
1837,5028,5923,125,215,650,515,2095,2116,3513,480,169,47,4564,332
1838,4983,6034,136,218,664,496,2197,2167,3572,476,169,47,4588,350
1839,4897,6045,140,221,661,498,2126,2207,3541,472,170,47,4572,347
1840,4875,6001,132,213,648,487,2100,2177,3536,467,169,48,4513,358
1841,4843,5997,126,220,650,468,2101,2183,3526,457,168,48,4444,347
1842,4817,6064,132,223,663,458,2105,2199,3559,455,168,48,4442,347
1843,4763,6048,138,218,652,445,2087,2210,3538,453,168,48,4429,341
1844,4765,5991,130,220,651,435,2075,2190,3539,453,168,48,4410,339
1845,4723,6000,126,217,649,434,2065,2196,3550,444,168,48,4386,336
1846,4692,6006,125,221,648,434,2050,2199,3550,440,167,48,4349,339
1847,4668,6031,124,221,642,424,2035,2200,3550,445,167,48,4304,334
1848,4639,6061,124,220,640,421,2020,2202,3532,441,166,48,4292,330
1849,4613,6081,125,222,635,412,2009,2197,3558,443,166,48,4260,333
1850,4580,6064,125,219,633,407,2003,2208,3580,445,165,47,4244,330
1851,4540,6040,123,220,634,404,1983,2205,3624,443,167,46,4247,331
1852,4517,6023,120,219,628,399,1978,2225,3644,439,160,46,4246,331
1853,4495,6016,122,218,625,395,1961,2227,3688,447,151,46,4229,326
1854,4450,5992,118,215,622,389,1958,2207,3697,458,136,46,4201,327
1855,4378,5942,116,215,621,379,2001,2210,3681,451,133,44,4167,319
1856,4360,5949,116,212,621,373,1981,2199,3735,448,127,45,4147,322
1857,4310,5908,113,213,615,365,1947,2222,3736,448,119,45,4116,320
1858,4300,5978,117,213,623,369,1977,2239,3784,450,114,45,4118,323
1859,4225,6130,119,215,621,386,1981,2316,3916,441,105,44,4113,320
1860,4189,6107,122,213,619,351,1987,2317,3923,439,99,44,4108,312
1861,4173,6078,120,214,613,342,1974,2305,3888,434,95,44,4084,307
1862,4164,6078,121,213,613,332,1967,2301,3895,429,95,43,4095,309
1863,4145,6052,122,215,610,320,1964,2304,3923,431,89,43,4108,316
1864,4113,6038,123,212,612,310,1955,2302,3963,430,87,43,4085,315
1865,4071,6185,126,211,609,310,1959,2297,3985,425,85,43,4096,315
1866,4034,6555,126,217,608,313,2016,2409,4022,431,84,42,4121,316
1867,3999,6689,124,220,606,313,2125,2624,4139,432,84,42,4154,337
1868,3932,6824,125,219,605,311,2100,2759,4210,438,83,42,4201,331
1869,3904,6969,132,219,604,309,2176,2869,4248,439,84,42,4228,339
1870,3893,6988,136,216,604,311,2145,2899,4332,443,88,41,4248,335
1871,3866,6869,132,221,607,317,2108,2869,4329,442,77,41,4261,330
1872,3792,6781,141,223,604,302,2086,2845,4371,442,76,41,4227,326
1873,3726,6815,146,226,599,302,2094,2881,4449,442,76,42,4202,326
1874,3655,6843,145,223,597,311,2106,2907,4489,439,72,42,4195,330
1875,3575,6845,145,222,594,294,2090,2778,4588,434,73,42,4140,325
1876,3481,7067,143,226,608,310,2111,2883,5009,431,72,42,4117,323
1877,3471,7207,147,229,611,328,2128,2917,5225,431,72,42,4143,321
1878,3410,7112,140,227,600,300,2095,2811,5261,431,70,43,4117,315
1879,3371,7256,134,230,599,302,2109,2847,5350,428,69,43,4099,315
1880,3340,7429,136,233,605,310,2147,2942,5595,426,68,43,4156,334
1881,3341,7259,129,230,605,297,2127,2881,5484,423,65,43,4120,326
1882,3323,7227,132,227,611,290,2101,2851,5416,418,65,43,4100,323
1883,3299,7210,133,225,616,292,2119,2861,5319,416,65,43,4104,321
1884,3290,7187,142,223,608,295,2111,2962,5256,417,61,42,4097,327
1885,3275,7203,142,225,614,290,2194,2982,5235,420,64,40,4138,332
1886,3258,7316,143,230,625,293,2372,3054,5260,420,62,39,4188,325
1887,3238,7371,144,228,624,297,2394,3073,5233,420,62,39,4193,323
1888,3246,7313,147,226,626,281,2332,3048,5313,417,61,40,4211,329
1889,3231,7393,154,228,623,288,2419,3205,5460,419,61,41,4230,336
1890,3221,7318,151,232,618,283,2383,3209,5500,416,60,42,4250,338
1891,3188,7531,153,241,619,291,2410,3414,5669,421,59,40,4325,345
1892,3174,7554,161,240,615,304,2439,3491,5764,420,59,39,4400,372
1893,3170,7622,156,244,621,292,2455,3511,5766,423,58,41,4433,393
1894,3151,7655,150,248,621,303,2484,3550,5855,420,59,42,4464,399
1895,3134,7377,150,238,621,275,2383,3351,5717,413,59,41,4395,372
1896,3109,7562,153,240,626,285,2395,3527,5854,416,58,42,4475,359
1897,3077,7351,147,237,619,271,2395,3341,5779,412,59,39,4365,356
1898,3074,7573,149,245,624,279,2639,3516,5922,416,61,41,4480,387
1899,3042,7560,145,248,621,272,2759,3580,5921,429,58,41,4524,391
1900,3035,7431,144,241,622,266,2707,3477,5934,410,58,41,4462,370
1901,2998,7570,146,238,622,263,2836,3560,6046,410,64,41,4536,387
1902,2981,7593,149,236,619,269,2841,3582,6060,408,61,41,4561,376
1903,2959,7737,148,237,631,272,2912,3721,6142,411,63,41,4591,391
1904,2938,8213,148,236,638,306,3248,4084,6268,414,60,41,4717,427
1905,2947,7990,150,233,631,300,3046,3917,6178,417,59,40,4601,396
1906,2911,7607,147,239,625,269,2747,3688,6093,406,57,41,4526,370
1907,2874,8140,147,241,645,299,2985,4201,6339,410,54,41,4660,419
1908,2798,8309,145,239,672,317,3142,4224,6415,411,54,41,4679,394
1909,2782,7940,145,234,649,281,2923,4017,6258,410,52,41,4583,380
1910,2751,8405,146,242,663,308,3011,4502,6536,415,47,40,4717,389
1911,2701,8347,141,236,670,285,2954,4227,6470,414,41,41,4659,399
1912,2677,8568,144,233,674,289,3062,4320,6551,412,40,40,4743,389
1913,2651,8054,143,229,656,277,2835,3974,6276,408,39,40,4583,368
1914,2625,8036,142,231,658,263,2842,4003,6287,412,40,40,4604,366
1915,2604,8275,144,235,679,279,2908,4127,6415,407,34,40,4666,380
1916,2584,8233,145,233,671,264,2985,4186,6408,413,33,40,4646,377
1917,2554,8426,149,243,678,275,2957,4521,6577,412,33,40,4748,398
1918,2531,8255,147,235,682,267,2922,4178,6461,406,31,60,4676,380
1919,2505,8237,144,237,679,272,2885,4227,6394,413,30,72,4710,379
1920,2501,8298,144,233,707,265,2862,4272,6509,406,30,76,4768,390
1921,2471,8667,149,238,743,276,3078,4230,6653,404,32,59,4922,412
1922,2425,8583,146,240,727,272,3162,4135,6627,410,29,53,4894,411
1923,2412,8138,143,233,709,246,3086,3896,6438,405,29,53,4691,398
1924,2380,8201,144,233,731,242,3256,3819,6535,410,33,60,4730,400
