,aristocrats,artisans,bureaucrats,capitalists,clergymen,clerks,craftsmen,farmers,labourers,officers,slaves,soldiers
1836,470441.04493,2983709.2235,77776.28813,4021.96147,338256.54703,11404.92555,179772.09801,22014300.2299,8536293.66186,37509.51172,263935.61245,586861.17343
1837,476400.27486,2957850.5291,123332.77785,4818.3806,354018.92966,12883.55622,199422.60888,22182600.6888,8813086.19093,44551.76224,264373.9391,649581.12393
1838,479219.35936,2950614.69529,137537.85998,5117.65313,364223.51055,13433.11741,209046.75029,22309625.8613,8845024.15561,47040.11957,264550.32958,684403.33212
1839,483932.35617,2937732.33559,160427.52807,5572.42074,386927.75395,14703.34913,226363.40794,22538508.2844,8906696.67783,51025.1156,263526.46843,731357.53488
1840,488466.67317,2932160.71097,180919.52503,6036.83538,408884.75184,16460.3353,247061.2144,22769291.2184,8965399.57267,54350.52266,263929.54155,750769.99428
1841,493555.79042,2929947.52569,198945.14668,6421.62751,432891.92171,18175.19345,273263.37208,23013579.8685,9042441.53693,57426.4644,255492.2955,770915.43293
1842,497268.3226,2926981.99209,211349.54491,6862.28118,453357.13913,19765.17752,298170.98564,23191163.553,9093634.00795,59875.8993,255523.70129,782507.58909
1843,501530.3452,2926851.8965,223899.41758,7184.29665,472663.06842,21161.42939,326771.10142,23379091.8195,9137445.1156,61951.85306,255950.30988,798240.51772
1844,507211.57832,2931517.06717,238936.14143,7524.63448,493021.58783,22825.53939,365817.85231,23605347.8923,9227070.26186,64569.62638,256404.66278,812320.87078
1845,511717.86253,2931092.92909,254831.58854,7758.18557,512752.48707,24548.73516,410781.39589,23709820.9307,9297457.34018,66764.30999,256920.85021,828416.39784
1846,518065.88667,2944834.24959,269971.03124,8102.98353,530794.95498,26333.34841,464222.89444,23954839.9416,9387480.90519,68836.98177,257501.53166,850015.73097
1847,525090.01124,2957498.03947,283698.49209,8553.63248,548636.05763,29523.35237,525693.034,24240312.2733,9488544.79028,70947.20341,258163.10307,866156.96971
1848,531207.75025,2973938.74324,295495.80429,8898.68275,566310.49304,32857.76903,588611.93066,24449673.3407,9663455.87275,73231.31662,258870.72456,882383.32768
1849,537987.8898,2995693.34853,308089.57821,9116.7474,583997.11587,36253.33546,652974.93719,24753409.6226,9770805.91641,75669.0847,259597.81044,890166.44688
1850,545951.66501,3020342.33142,319929.44996,9496.6678,603599.16081,40029.44106,721412.51542,25069147.3835,9885142.0954,78076.1933,260154.66335,903049.44826
1851,554834.84618,3051975.69932,330069.78591,9888.09426,624282.25339,43577.22297,791062.90796,25377672.5055,10000524.6527,80720.16256,261083.55962,920588.43343
1852,565068.22242,3091302.13631,339820.45058,10261.74044,644718.40384,47700.54323,870061.45422,25748721.6419,10132991.6115,83414.98867,262083.32162,942396.53682
1853,574983.44615,3127058.75955,351817.01917,10671.70524,663930.13403,51342.58196,956542.3298,26114141.5796,10263093.9526,85794.8494,261637.16443,954759.89853
1854,582501.81195,3161300.0922,364517.92218,11013.75456,684507.70152,54940.91632,1053453.70987,26487374.3105,10394182.7982,87909.37653,250540.45021,960798.40159
1855,595055.84423,3206545.12285,377798.16153,11746.9793,711407.46891,59249.43992,1168436.74859,26943484.8148,10514955.264,89956.00998,250829.53459,998539.08974
1856,604398.15386,3241953.4026,388941.58607,12221.26979,731375.46451,63206.6638,1259437.40568,27284736.131,10652623.0503,91444.02891,251809.24522,1021754.46215
1857,623727.38982,3306280.47041,411230.05417,13060.31471,765554.98272,69279.59584,1441810.87997,27967518.3832,10878667.3845,94249.70806,253527.46851,1038133.23236
1858,630000.98074,3327845.9052,420010.73609,13198.78997,775171.32836,71050.06109,1508161.94024,28159674.6145,10941276.4642,95263.78458,252922.01832,997237.59037
1859,647941.78493,3392727.51815,443993.35554,13617.12629,804597.5811,75791.88053,1678481.70966,28758924.6161,11095207.2836,97909.76448,254599.08295,964249.01334
1860,665569.53997,3455295.23408,463291.9337,14081.34764,833926.55279,81586.00976,1833432.98235,29348857.3782,11289777.1408,100440.17555,255946.65535,980006.84053
1861,678000.66681,3501875.41076,475457.29082,14430.33562,854972.26789,87020.00887,1962071.07644,29767099.2215,11447392.4997,102089.4198,244539.26524,1014837.76698
1862,685544.01588,3527746.93133,483421.19611,14459.70628,867480.53767,89813.0176,2039373.2462,30065672.4077,11549773.4414,103112.87244,185091.19036,1037785.46467
1863,699923.346,3586702.81531,497367.52153,14633.15202,893417.70812,95628.2142,2206094.88087,30614286.9228,11719854.9678,105285.00189,185339.73754,1083228.26802
1864,715721.75055,3651045.76902,511510.45494,14965.41774,920928.80636,101156.1068,2370793.32004,31165773.8483,11897138.1044,107755.61412,185468.58462,1134428.98818
1865,730342.3232,3698298.25502,529728.94429,15279.21123,944607.65113,108021.14085,2530248.76737,31671881.2445,12018019.9853,109817.92768,185622.97621,1114785.3858
1866,742623.36355,3712144.53953,550420.72413,15369.18085,966745.08892,115555.2232,2673242.6067,32032382.859,12086932.5614,111348.2028,185685.01975,1104436.04815
1867,752017.80044,3702405.49356,568654.74261,15377.61306,981380.38262,127349.99789,2861108.20568,32206488.6878,12096504.3706,112732.5729,171930.94106,1164247.18303
1868,759301.67948,3687950.41934,587541.5739,15369.59396,995510.22495,138133.19787,3040987.65347,32287480.4277,12080621.7829,113822.69846,171895.41208,1201531.30903
1869,770449.48173,3694444.43247,612676.83826,15547.15987,1018443.21678,147258.92377,3240855.00281,32598835.538,12118709.5517,115408.96828,171957.76828,1266264.15379
1870,783747.6748,3707907.22922,642517.9098,15569.72942,1044494.36309,156747.25436,3450261.25719,33066140.9368,12123440.7759,117394.84075,171993.04602,1339665.23744
1871,798411.94066,3724386.25174,670429.45704,15761.98408,1073914.15441,163663.41322,3610788.73692,33615138.0591,12250492.7085,120024.93212,172120.97602,1424274.90602
1872,817547.18633,3793172.3457,701033.01056,16210.78037,1109516.31164,170189.8351,3817230.7996,34273218.1048,12457774.673,122846.82057,161767.27421,1490357.5967
1873,836901.10196,3857558.37986,729633.77648,16784.62552,1147701.67797,177212.22333,4031826.40902,34945631.7121,12671693.1123,125741.99007,147698.88716,1532790.04056
1874,854973.58518,3911689.51693,756681.65967,17422.94902,1179470.21922,184688.36177,4265880.8573,35459530.0059,12850211.5885,128414.47545,138553.45615,1557023.74723
1875,882449.21854,4005834.81408,803733.81678,18057.19913,1229827.20792,193318.22845,4629971.49233,36327490.7709,13200909.4853,132839.75014,110512.38513,1635238.322
1876,897640.60233,4054481.18891,846506.43784,19014.5442,1269021.17305,201847.42887,4926076.14123,37224329.4325,13518569.3191,137269.75539,70613.27812,1733816.64648
1877,902367.75073,4054813.16007,854519.42901,19251.3295,1285862.11044,201556.44249,4986461.95946,37467949.7975,13582610.8402,138682.26786,67657.1587,1758931.9859
1878,908021.86815,4067794.42069,866527.62516,19725.13311,1299022.79445,193062.50443,5073871.65636,37967256.1186,13640619.9429,141787.76598,59862.59874,1809227.52684
1879,912215.62734,4072534.42064,879901.88207,20439.09582,1309715.59435,188732.26873,5173501.08316,38140021.5215,13665080.066,144136.1178,55892.85314,1864478.54569
1880,929134.10343,4116286.06031,892326.35278,21261.11067,1341761.30246,187964.32329,5316787.65114,38592868.8242,13688096.2685,148510.82027,56055.84287,1947857.4945
1881,949831.27657,4173119.47644,912115.19856,21923.5406,1376135.87692,189966.95266,5490207.9441,39037718.3615,13805169.9311,151643.67546,55088.27617,2023508.12113
1882,975708.71054,4261781.46903,948971.77949,22447.51602,1418249.67023,193769.18671,5769357.59462,39702718.6259,14094005.1317,154490.3455,55216.53332,2108372.52365
1883,1004472.04651,4358245.07148,995518.70894,22989.46993,1463873.83228,200170.80801,6080073.23099,40542948.2476,14406800.3676,157756.41724,53762.12754,2178176.86867
1884,1039200.65741,4470646.84557,1057257.09609,23810.65506,1519999.5807,207627.74625,6483484.43944,41642782.6935,14783098.5718,161342.88115,53454.31413,2237552.39017
1885,1055975.94394,4519264.26651,1088143.55489,24352.74933,1547075.32058,212591.70977,6725433.05215,42167889.1963,14938207.5937,163491.88783,53572.7172,2246867.09093
1886,1088709.84891,4620626.05294,1140669.2261,25372.17394,1597259.10405,223024.15815,7230159.41051,43051173.643,15320718.1479,168743.34158,53797.56732,2361651.57993
1887,1106429.48504,4673986.19965,1169846.89942,26152.03224,1621471.28261,231540.19035,7475046.17277,43491007.0754,15477589.4574,171699.40047,53875.45285,2415014.57551
1888,1134490.062,4774310.14988,1212005.52174,27114.96224,1663466.03751,240085.40125,7877022.32813,44236699.0955,15860584.5804,175307.48171,53952.93279,2533296.94093
1889,1165910.32374,4879761.83332,1259920.35614,28212.82803,1711019.33943,251961.13713,8332022.8311,45057262.1686,16300947.494,179686.34114,54109.27129,2657177.99459
1890,1199063.61016,4985113.05612,1310360.06817,29329.90974,1766643.34683,264461.8294,8899855.54736,45517096.8234,16949386.5904,184116.31739,53058.7551,2781357.71383
1891,1236710.70042,5119383.21125,1360198.77925,30710.26903,1829780.20131,275498.80929,9501565.66631,46314027.6654,17504379.6007,189996.53383,52843.52516,2910753.67665
1892,1281467.96079,5278611.23117,1423800.68521,32544.6224,1906870.33267,292316.85877,10246751.6589,47297113.4808,18158564.2206,197249.4865,52979.93599,3077289.29339
1893,1319743.215,5418153.84937,1478280.99536,33861.93844,1970415.52044,305612.92858,10887201.9033,48074928.2108,18703049.2516,202757.37985,53143.09889,3200632.11378
1894,1357161.5914,5557188.46475,1533780.5597,35128.01163,2030346.61625,318898.04042,11538535.015,48772564.9919,19235544.5248,208252.83907,53321.91456,3300828.36313
1895,1398434.81535,5707559.0887,1592826.98823,36643.18268,2100430.86196,333233.29241,12212131.9699,49584845.3935,19801499.2081,213636.20258,53724.08325,3413821.55246
1896,1446943.16147,5898014.18102,1663438.06301,38488.40499,2180359.99808,350013.31223,13004140.492,50625278.6187,20407015.0114,219750.902,54554.13708,3539099.27975
1897,1478259.87099,6009155.64036,1710842.92186,39563.43959,2231483.4956,363246.49639,13536213.4639,51241102.4678,20805810.4628,223935.46767,55111.88804,3506649.8715
1898,1532033.56706,6195125.52769,1791181.93994,41489.48482,2321851.44826,388153.96158,14448869.8933,52257218.9449,21489675.2526,231336.48208,55217.84564,3589469.95589
1899,1565951.04844,6279067.0419,1851028.40673,42672.49435,2383389.8961,415169.09372,14962758.0952,52824518.2086,21789547.47,236067.11548,55892.47191,3634588.53352
