,animist,catholic,coptic,gelugpa,hindu,jewish,mahayana,orthodox,protestant,shiite,shinto,sikh,sunni,theravada
1836,16879990.0,38318181.0,788187.0,2892884.0,27785464.0,898565.0,102989746.0,16154879.0,17579928.0,1666990.0,1667698.0,299248.0,24416692.0,2443099.0
1837,15748022.0,38615695.0,852255.0,2917173.0,27793083.0,878209.0,103626995.0,16323425.0,18389355.0,1758801.0,1470371.0,506052.0,24729310.0,2459676.0
1838,15284731.0,38769563.0,876614.0,2926456.0,27802111.0,871582.0,103897459.0,16361029.0,18674410.0,1795022.0,1393673.0,574260.0,24896074.0,2466295.0
1839,14541264.0,39026098.0,916677.0,2942490.0,27839476.0,861036.0,104323588.0,16482185.0,19079951.0,1853105.0,1275775.0,669119.0,25139318.0,2477042.0
1840,13966670.0,39246406.0,949942.0,2955683.0,27831041.0,851044.0,104683471.0,16579609.0,19474239.0,1897188.0,1218175.0,777910.0,25264439.0,2474337.0
1841,13450678.0,39462435.0,979049.0,2962901.0,27824766.0,841610.0,105059252.0,16689105.0,19857775.0,1946225.0,1174930.0,881168.0,25325878.0,2477740.0
1842,13032565.0,39533292.0,1002346.0,2972219.0,27845804.0,831632.0,104632141.0,16769525.0,20171365.0,1985913.0,1115669.0,894280.0,25437382.0,2483645.0
1843,12637404.0,39630786.0,1024527.0,2982142.0,27820532.0,824220.0,104386221.0,16848533.0,20497099.0,2028517.0,1063581.0,940206.0,25490793.0,2489748.0
1844,12262850.0,39834209.0,1045926.0,2991726.0,27843306.0,818141.0,104770745.0,16934257.0,20799744.0,2066676.0,1021419.0,973791.0,25559822.0,2496871.0
1845,11890373.0,39968009.0,1066155.0,2970962.0,26968205.0,812443.0,104890152.0,17020031.0,21114380.0,2108608.0,978738.0,990775.0,25430333.0,2501051.0
1846,11533918.0,40104437.0,1084029.0,2930111.0,27038242.0,807493.0,105194964.0,17099679.0,21419622.0,2146541.0,932032.0,1002049.0,25472440.0,2490481.0
1847,11221063.0,40269332.0,1099496.0,2908914.0,27070948.0,802757.0,105553708.0,17188784.0,21730450.0,2183698.0,919775.0,1009525.0,25514209.0,2494056.0
1848,10941636.0,40412084.0,1108598.0,2916616.0,27137075.0,798286.0,105843622.0,17289163.0,22029129.0,2215881.0,911940.0,1017209.0,25559164.0,2488669.0
1849,10687271.0,40569436.0,1121964.0,2925183.0,27218589.0,794566.0,106175316.0,17396959.0,22312360.0,2247871.0,903934.0,1024698.0,25601978.0,2472220.0
1850,10464333.0,40778688.0,1134434.0,2933987.0,27292681.0,791039.0,106411236.0,17479404.0,22566470.0,2280515.0,896199.0,1028527.0,25661095.0,2468622.0
1851,10263124.0,41033537.0,1145202.0,2942396.0,27368893.0,788009.0,106744893.0,17592112.0,22773726.0,2301889.0,839883.0,1031755.0,25682118.0,2469044.0
1852,10080876.0,41296271.0,1154979.0,2950745.0,27439994.0,785415.0,107076493.0,17707475.0,23054404.0,2329231.0,785160.0,1035829.0,25706342.0,2471012.0
1853,9875973.0,41471976.0,1163975.0,2958950.0,27449989.0,782787.0,107433988.0,17785598.0,23345096.0,2343065.0,732782.0,1102031.0,25695756.0,2462729.0
