,aristocrats,artisans,bureaucrats,capitalists,clergymen,clerks,craftsmen,farmers,labourers,officers,slaves,soldiers
1853,7209557.83423,233363901.309,15183184.0255,8151592.67256,41223298.6951,16426.69154,311337.45646,22017469.7796,14593442.5954,12394969.2926,0.0,117739.93993
1854,7521592.87317,196691737.364,12150645.3896,11373490.8262,36725963.3856,21009.2684,357716.59634,23216933.5245,16330345.7027,8901611.5765,0.0,146699.60413
1855,7626680.61429,240901814.057,16311482.4131,19785640.3403,36147020.0088,25412.45341,459300.3272,23814090.1389,18120251.0637,9140131.41822,0.0,148026.65949
1856,7958978.27907,242694714.917,22409986.53,13579390.5736,49749537.3717,22916.18301,382709.12003,24411119.9118,17320764.1982,13893074.2098,0.0,148585.1937
1857,8232769.10413,148443480.373,12943742.2133,23520324.3598,9971677.03823,27519.81099,486765.64594,26082114.7269,18526609.2112,6388298.27329,0.0,150538.43678
1858,11487754.5259,86212731.3498,11178560.3478,14410265.0848,4424208.06779,19027.45958,336160.15354,21060205.5473,14503145.5586,6033277.37714,0.0,115979.28579
1859,7575933.82237,71115022.5186,8233244.0679,12583834.9968,2748682.67222,17801.23253,347369.29585,21219402.8784,15339981.1456,5758365.15149,0.0,125191.09122
1860,8660830.11594,151599990.492,10377564.2413,33104495.6454,4490796.24892,28858.08888,617353.33132,26162805.6324,27478443.1866,5828301.49593,0.0,125605.28535
1861,8922550.13512,210733321.364,16242621.7796,32124775.6894,14030598.3596,32124.2546,769510.70621,27987096.5832,25507412.2448,8792255.85556,0.0,215385.37387
1862,8977290.00522,221001017.483,17830885.7986,31128837.9963,20382258.1344,31017.93559,762426.99583,27554156.5503,24264563.245,10096911.0565,0.0,135050.70906
1863,9639916.8753,214105819.358,20827716.33,39153425.5658,28683412.687,39746.27625,878244.7214,28324885.999,25534963.585,11632807.154,0.0,131092.28184
1864,9888148.12795,235030084.803,19368881.7702,55618632.1279,29313106.3881,39331.56638,938688.33612,29596060.466,29210550.6853,7828028.55133,0.0,113202.553
1865,7751718.43779,29743908.3751,407512.1779,13147261.3349,331665.83098,19353.21898,382701.90315,22755844.6456,15731558.7018,2072554.24521,0.0,70023.76287
1866,6351758.87674,7283636.26918,118567.1273,8417392.5947,189944.07582,14421.00122,287181.05769,17270517.6378,13990596.6449,748752.98166,0.0,54476.97625
1867,5523017.78754,3204713.96624,86017.89412,4476312.01975,102162.41706,13098.63079,232790.94411,11656953.4099,10842574.2953,386746.48196,0.0,62757.24652
1868,6192330.44123,3432126.55325,76980.93749,3025116.52158,123777.68825,14503.64912,210648.17465,13646917.2736,12327404.3934,400303.3406,0.0,65495.35694
1869,6392195.99123,3871582.77206,78959.21418,1477322.3328,132371.61631,15519.47829,234422.9558,13439496.032,13869111.4711,418736.48766,0.0,59718.44424
1870,6702685.80927,5409812.961,81205.85666,2011745.78047,137530.14853,16177.83275,234920.6455,13491190.8504,20192070.614,488160.8775,0.0,63633.525
1871,11250245.6112,307025827.364,3534591.8009,51551902.2327,3269021.84048,81875.64278,1538966.2556,29937158.7918,60048461.2473,1968034.95397,0.0,626708.57797
