,animist,catholic,coptic,gelugpa,hindu,jewish,mahayana,orthodox,protestant,shiite,shinto,sikh,sunni,theravada
1836,5068190.63415,31868162.9775,326365.89084,1591937.06319,13837945.2625,2336836.95303,56853552.6031,8771602.76208,13984702.2235,1475334.47661,1027019.68323,216980.69763,15131084.3053,1604846.37819
1837,16460110.3453,25788385.2663,224421.14032,12858029.2779,8227171.08595,765403.26915,217806618.208,4055189.63589,7073646.78862,6028931.59691,7318373.66412,93500.7083,35110984.9526,1650387.00369
1838,25101713.5764,23041241.2245,172468.61725,22366930.8961,9517866.6703,910823.65166,254940892.857,4593027.00018,7898172.23251,8623222.64422,6218844.10803,140833.43503,42321162.2398,2591926.64321
1839,33617101.5008,24652233.8918,291002.27942,25634257.2362,12933041.1224,3809832.56188,322066723.019,6870301.8905,10324667.4138,14125645.3169,6816408.4899,1927784.69625,68053788.1769,6113695.90186
1840,33070453.1909,26750966.588,615391.05994,27804286.9041,15565511.4011,4810804.42846,363633569.255,8768057.11035,11093751.2459,19337021.65,6774530.08102,2044220.19923,83518194.3451,10245703.7841
1841,32294732.9984,35153060.5866,212727.22312,30968449.5737,16639266.6695,6865863.65087,382523645.407,11331992.9158,12977831.4178,21297662.4933,6947749.56784,2611626.25216,102405600.664,10420946.6046
1842,34188579.7683,51344738.6579,236629.76533,34420579.3501,17055003.9791,9721727.82586,394227055.415,13987808.0575,12575088.2206,21592976.542,7210602.51067,2334215.46012,115264429.211,10367538.6576
1843,40193575.6972,48934797.1914,209512.60538,39424618.8896,14690741.688,9740639.74977,400640393.889,12837013.949,13528342.9818,22517028.0091,7476601.63028,4557163.75677,126409870.251,10643855.3825
1844,43411130.7869,44686149.4364,224673.82806,42349547.8598,14812725.7631,9940980.45844,401392758.304,13724314.428,14132079.6019,21749322.5807,8074189.5134,7847010.44928,127073338.106,11074734.6616
1845,41393969.8251,36921705.953,915321.6443,44975719.1565,10922439.4351,8323822.56851,405115338.786,13421429.3589,15513883.2031,21358431.9765,8702297.37535,7316662.33295,132925164.575,11918440.6546
1846,43098504.6716,37072857.5147,1518291.93478,32539107.0788,12038861.3449,6390038.11806,409931133.23,12410215.8936,12140925.6043,21119728.2643,9138334.45288,8485391.89475,139801147.098,13558980.6319
1847,45473702.1602,39262796.1793,1994351.78685,36108501.2889,12082207.6328,5455500.3859,408313137.53,12821516.9291,13776341.5008,22891906.157,9234653.51766,8362907.92558,158273446.16,20542771.7053
1848,42017793.7679,42496720.2464,3202486.96112,36774685.9529,11320861.9485,4895191.84956,407952304.196,12038806.579,15009656.3781,26899740.8853,10738079.8623,7840583.69195,166685434.239,18118172.473
1849,40566045.4411,35112138.333,2093957.60848,36978923.2245,10395719.9468,5313924.45656,400128327.908,10931063.4571,17017770.4234,24390412.4339,10288388.2625,5445616.23934,171536243.907,17069438.5573
1850,35487359.9268,36281342.1937,2161413.26898,31459909.0357,10327388.6363,5884659.26965,342214493.172,10028066.4732,16101561.4114,22618510.7215,8512999.35021,5577018.18216,149292830.758,13103956.3839
1851,28618996.7414,36928482.3047,1492051.38296,28397307.4084,9452255.42901,5503232.16526,290738607.209,8716066.85085,16003878.6191,6182738.7085,4402251.1578,2661064.24206,108002892.062,15047154.9678
1852,24969660.4008,24649057.8577,930957.86018,27443133.9878,8388105.90941,4782892.83294,203457130.206,7893854.99167,14520783.8179,1608244.65944,1552041.28087,1062080.30292,95077749.8836,11350252.7529
1853,19726547.1986,20164725.3533,635215.14257,25347940.6209,8300458.05262,4244937.37915,155910355.364,7009891.5023,14620124.5763,5132498.0504,732487.07216,170234.48385,85444630.8238,7142874.67155
1854,11486006.3505,23977888.8676,655731.59505,24153196.2243,8376343.77139,3524430.69169,138710972.786,6202628.28843,15463592.536,3115262.70824,348773.92708,250347.53526,75611382.2397,1561188.58958
