,aristocrats,artisans,bureaucrats,capitalists,clergymen,clerks,craftsmen,farmers,labourers,officers,slaves,soldiers
1836,1527,6041,616,24,4446,38,59,4048,1253,703,371,4307
1837,1551,6072,668,104,4322,86,197,4533,1428,2198,395,4218
1838,1552,6096,671,105,4317,90,268,4715,1485,2216,398,4184
1839,1542,6062,666,98,4207,112,371,4672,1495,2192,403,4124
1840,1527,5995,658,105,4135,143,444,4596,1480,2226,406,4009
1841,1531,5934,651,98,4097,166,476,4583,1476,2246,404,3916
1842,1539,5916,654,111,4078,193,509,4613,1495,2259,409,3904
1843,1533,5851,656,97,4037,197,544,4602,1504,2235,414,3868
1844,1518,5789,649,108,4010,200,583,4546,1459,2289,419,3844
1845,1505,5725,649,100,3982,209,629,4541,1476,2287,422,3817
1846,1490,5680,648,104,3952,224,676,4533,1469,2269,425,3798
1847,1472,5623,632,100,3910,254,736,4518,1470,2287,426,3765
1848,1463,5580,633,95,3907,287,784,4498,1463,2279,427,3720
1849,1458,5526,636,94,3880,295,824,4491,1470,2289,429,3710
1850,1457,5468,637,95,3870,313,838,4495,1475,2281,432,3689
1851,1455,5437,633,94,3848,326,853,4489,1466,2298,432,3676
1852,1448,5393,631,96,3832,339,871,4497,1467,2307,440,3654
1853,1449,5364,631,101,3799,356,895,4497,1466,2317,442,3629
1854,1443,5324,631,99,3749,364,903,4498,1450,2327,433,3595
1855,1437,5236,635,100,3705,378,919,4508,1456,2287,425,3571
1856,1431,5194,630,100,3707,384,968,4483,1444,2303,425,3566
1857,1417,5112,624,102,3664,398,1004,4450,1425,2336,426,3519
1858,1414,5108,632,106,3671,392,1011,4529,1481,2348,426,3532
1859,1415,5097,630,104,3661,395,1050,4718,1606,2324,428,3504
1860,1409,5067,634,116,3653,420,1055,4672,1583,2310,430,3481
1861,1410,5004,630,115,3635,409,1053,4639,1569,2329,419,3459
1862,1414,4987,635,114,3636,414,1053,4673,1573,2337,355,3464
1863,1406,4961,637,115,3629,424,1110,4645,1556,2345,355,3459
1864,1401,4907,635,124,3618,452,1174,4609,1539,2325,355,3449
1865,1405,4866,632,117,3608,448,1197,4730,1581,2333,355,3445
1866,1399,4841,635,112,3595,467,1216,5111,1754,2356,354,3454
1867,1395,4833,636,105,3567,459,1236,5543,1989,2337,347,3441
1868,1386,4814,636,113,3550,481,1330,5741,2023,2328,347,3431
1869,1377,4819,641,103,3538,485,1377,6002,2117,2320,346,3437
1870,1378,4815,643,102,3538,488,1406,6091,2106,2335,346,3431
1871,1367,4749,649,98,3548,490,1421,5918,2116,2341,346,3426
1872,1307,4739,652,94,3557,485,1413,5853,2023,2388,326,3420
1873,1271,4722,652,103,3567,506,1420,5843,2047,2456,304,3435
1874,1236,4758,658,107,3558,505,1435,5864,2044,2477,285,3427
1875,1188,4706,651,100,3572,523,1431,5828,1972,2488,251,3435
1876,1135,4811,649,109,3617,558,1543,6067,2123,2530,209,3472
1877,1135,4862,657,110,3622,562,1579,6224,2277,2537,205,3502
1878,1082,4819,652,112,3627,556,1529,6167,2134,2569,190,3495
1879,1064,4776,648,122,3633,575,1576,6262,2236,2560,179,3521
1880,1029,4811,657,121,3667,584,1610,6481,2450,2600,179,3575
1881,1019,4741,661,128,3654,571,1579,6342,2284,2617,179,3555
1882,1003,4710,675,128,3672,556,1567,6275,2180,2628,179,3554
1883,1008,4689,663,126,3679,572,1583,6199,2153,2632,163,3556
1884,1018,4720,660,131,3697,574,1584,6143,2152,2639,160,3540
1885,1006,4705,661,136,3689,578,1656,6209,2158,2644,160,3552
1886,1014,4721,665,137,3683,602,1727,6425,2287,2632,160,3532
1887,1018,4743,671,139,3653,615,1762,6454,2269,2616,160,3539
1888,1019,4691,681,139,3674,590,1752,6460,2276,2622,160,3526
1889,1031,4696,694,154,3680,615,1765,6605,2515,2636,160,3537
1890,1021,4640,697,151,3668,608,1776,6584,2567,2639,160,3510
1891,1021,4632,699,162,3682,610,1863,6783,2926,2638,160,3530
1892,1001,4643,698,157,3688,628,2010,6865,3018,2635,160,3529
1893,1020,4620,698,163,3683,625,2034,6913,3100,2645,160,3524
1894,1017,4584,706,156,3697,637,2061,6957,3223,2658,160,3545
1895,1000,4563,705,176,3683,631,2026,6655,2763,2640,160,3524
1896,1011,4560,705,186,3690,672,2139,6789,3005,2659,160,3525
1897,1000,4498,706,183,3682,699,2117,6535,2700,2649,160,3519
1898,995,4516,705,190,3678,707,2290,6925,3025,2673,160,3542
1899,988,4490,704,198,3676,717,2316,7054,3072,2665,160,3551
1900,982,4448,705,197,3671,761,2332,6932,2844,2654,160,3512
1901,979,4440,704,218,3696,787,2479,7103,2950,2670,160,3531
1902,986,4430,705,233,3664,816,2538,7133,2943,2665,160,3504
1903,993,4436,707,235,3680,824,2563,7290,3172,2676,160,3520
1904,993,4467,706,256,3692,844,2801,7924,3688,2687,160,3520
1905,994,4436,708,269,3692,899,2760,7532,3294,2666,160,3495
1906,979,4315,708,247,3669,970,2677,7019,2850,2675,160,3457
1907,984,4345,709,241,3661,1008,2982,7703,3505,2682,160,3475
1908,966,4380,713,245,3657,1037,3099,7937,3498,2695,160,3453
1909,956,4294,705,248,3653,1038,2998,7365,3132,2697,160,3449
1910,953,4335,712,260,3671,1117,3238,7930,3630,2703,160,3463
1911,947,4261,708,256,3664,1147,3196,7706,3371,2703,160,3466
1912,942,4240,716,251,3664,1151,3319,7918,3630,2698,160,3453
1913,937,4173,711,253,3657,1173,3100,7256,3006,2678,160,3429
1914,948,4167,707,245,3644,1200,3099,7235,3045,2679,160,3420
1915,949,4176,710,261,3650,1241,3153,7538,3236,2690,160,3429
1916,945,4186,709,273,3643,1260,3165,7512,3247,2688,160,3430
1917,941,4188,708,276,3653,1287,3282,7867,3515,2694,160,3440
1918,927,4130,708,281,3646,1296,3202,7574,3186,2684,160,3437
1919,936,4126,711,281,3648,1367,3202,7522,3142,2684,160,3405
1920,926,4145,713,284,3632,1369,3252,7638,3249,2678,160,3415
1921,927,4116,713,299,3624,1389,3394,8107,3505,2690,160,3410
1922,925,4072,711,306,3633,1424,3375,7979,3443,2691,160,3395
1923,919,4004,711,308,3584,1420,3240,7373,3106,2687,160,3365
1924,919,3985,712,298,3597,1442,3302,7605,3111,2690,160,3353
1925,914,3985,713,287,3587,1449,3402,7549,3101,2691,160,3343
1926,911,4004,714,300,3609,1518,3617,8267,3604,2720,160,3357
1927,908,3957,713,311,3594,1521,3481,7473,3022,2709,160,3358
1928,897,3978,711,325,3590,1562,3559,7411,3084,2708,160,3341
1929,886,3942,710,328,3581,1559,3444,7192,2856,2704,160,3305
1930,883,3957,706,340,3584,1582,3571,7392,2976,2713,105,3321
1931,885,3968,709,333,3579,1600,3743,7727,3225,2721,105,3317
1932,872,3919,706,342,3570,1580,3595,7339,2992,2731,105,3307
1933,877,3957,707,346,3572,1611,3672,7714,3227,2748,105,3309
1934,869,3940,705,357,3574,1615,3828,7981,3472,2737,105,3311
1935,873,3922,703,361,3587,1656,3892,8344,3846,2732,109,3325
1936,859,3857,704,362,3547,1639,3578,7158,2767,2719,109,3263
